"FRAUD_MSG_LIST","Fraud Messages"
"Paylike","Paylike"
"Enable Paylike","Enable Paylike"
"Payment method title","Payment method title"
"Payment method credit card logos","Payment method credit card logos"
"Payment method description","Payment method description"
"Payment popup title","Payment popup title"
"Transaction mode","Transaction mode"
"Test mode Public Key","Test mode Public Key"
"Test mode App Key","Test mode App Key"
"Live mode Public Key","Live mode Public Key"
"Live mode App Key","Live mode App Key"
"Capture mode","Capture mode"
"Checkout mode","Checkout mode"
"Sort Order","Sort Order"
"Visa","Visa"
"Visa Electron","Visa Electron"
"MasterCard","MasterCard"
"Maestro","Maestro"
"Instant","Instant"
"Delayed","Delayed"
"Authorize","Authorize"
"Test","Test"
"Live","Live"
"My billing and shipping address are the same","My billing and shipping address are the same"
"Place Order","Place Order"
"Sorry, but something went wrong","Sorry, but something went wrong"
"Payment data object should be provided","Payment data object should be provided"
"Order payment should be provided.","Order payment should be provided."
"No authorization transaction to proceed capture.","No authorization transaction to proceed capture."
"Response does not exist","Response does not exist"
"Gateway rejected the transaction.","Gateway rejected the transaction."
"The text shown in the popup where the customer inserts the card details","The text shown in the popup where the customer inserts the card details"
"In test mode, you can create a successful transaction with the card number 4100 0000 0000 0000 with any CVC and a valid expiration date.","In test mode, you can create a successful transaction with the card number 4100 0000 0000 0000 with any CVC and a valid expiration date."
"Get it from your Paylike dashboard","Get it from your Paylike dashboard"
"If you deliver your product instantly (e.g. a digital product), choose Instant mode. If not, use Delayed.","If you deliver your product instantly (e.g. a digital product), choose Instant mode. If not, use Delayed."
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"The test private key doesn't seem to be valid.","The test private key doesn't seem to be valid."
"The test private key is not valid or set to live mode.","The test private key is not valid or set to live mode."
"The test public key doesn't seem to be valid.","The test public key doesn't seem to be valid."
"The live private key doesn't seem to be valid.","The live private key doesn't seem to be valid."
"The live private key is not valid or set to test mode.","The live private key is not valid or set to test mode."
"The live public key doesn't seem to be valid.","The live public key doesn't seem to be valid."
"Transaction not found! Check the transaction key used for the operation.","Transaction not found! Check the transaction key used for the operation."
"The request is not valid! Check if there is any validation bellow this message and adjust if possible, if not, and the problem persists, contact the developer.","The request is not valid! Check if there is any validation bellow this message and adjust if possible, if not, and the problem persists, contact the developer."
"The operation is not allowed! You do not have the rights to perform the operation, make sure you have all the grants required on your Paylike account.","The operation is not allowed! You do not have the rights to perform the operation, make sure you have all the grants required on your Paylike account."
"The operation is not properly authorized! Check the credentials set in settings for Paylike.","The operation is not properly authorized! Check the credentials set in settings for Paylike."
"The operation leads to a conflict! The same transaction is being requested for modification at the same time. Try again later.","The operation leads to a conflict! The same transaction is being requested for modification at the same time. Try again later."
"Network issues ! Check your connection and try again.","Network issues ! Check your connection and try again."
"There has been a server issue! If this problem persists contact the developer.","There has been a server issue! If this problem persists contact the developer."
